,Year,Maize
2280,1961,18000000.0
2281,1962,16250000.0
2282,1963,20580000.0
2283,1964,22690000.0
2284,1965,23650000.0
2285,1966,29130000.0
2286,1967,30950000.0
2287,1968,29070000.0
2288,1969,28420000.0
2289,1970,33030000.0
2290,1971,35850000.0
2291,1972,32100000.0
2292,1973,38630000.0
2293,1974,42920000.0
2294,1975,47220000.0
2295,1976,48150000.0
2296,1977,49400000.0
2297,1978,55950000.0
2298,1979,60040000.0
2299,1980,62600000.0
2300,1981,59210000.0
2301,1982,60560000.0
2302,1983,68210000.0
2303,1984,73410000.0
2304,1985,63826000.0
2305,1986,70856000.0
2306,1987,79240000.0
2307,1988,77351010.0
2308,1989,78930000.0
2309,1990,96819010.0
2310,1991,98773010.0
2311,1992,95383010.0
2312,1993,102704000.0
2313,1994,99277000.0
2314,1995,111986000.0
2315,1996,127470000.0
2316,1997,104310000.0
2317,1998,132954000.0
2318,1999,128086000.0
2319,2000,106000000.0
2320,2001,114090000.0
2321,2002,120000000.0
2322,2003,115830000.0
2323,2004,130290000.0
2324,2005,139365000.0
2325,2006,151603000.0
2326,2007,152300000.0
2327,2008,165914000.0
2328,2009,163974000.0
2329,2010,177425000.0
2330,2011,192781000.0
2331,2012,205614100.0
2332,2013,218489000.0
2333,2014,215646300.0
2334,2015,264992000.0
2335,2016,263613000.0
2336,2017,259071000.0
2337,2018,257173900.0
2338,2019,260778900.0
2339,2020,260670000.0
2340,2021,272552000.0
