,Year,Rice
2280,1961,641600.0
2281,1962,672600.0
2282,1963,584800.0
2283,1964,418037.0
2284,1965,514045.0
2285,1966,404733.0
2286,1967,460869.75
2287,1968,391842.0
2288,1969,266595.1
2289,1970,225786.0
2290,1971,0.0
2291,1972,0.0
2292,1973,0.0
2293,1974,0.0
2294,1975,0.0
2295,1976,0.0
2296,1977,0.0
2297,1978,0.0
2298,1979,70800.0
2299,1980,74100.0
2300,1981,60000.0
2301,1982,55000.0
2302,1983,48880.0
2303,1984,90663.0
2304,1985,100423.0
2305,1986,186700.0
2306,1987,170000.0
2307,1988,179800.0
2308,1989,183900.0
2309,1990,196200.0
2310,1991,199100.0
2311,1992,201300.0
2312,1993,207800.0
2313,1994,212700.0
2314,1995,213700.0
2315,1996,213300.0
2316,1997,227400.0
2317,1998,234300.0
2318,1999,245400.0
2319,2000,250940.0
2320,2001,271317.0
2321,2002,286012.0
2322,2003,312000.0
2323,2004,315000.0
2324,2005,330000.0
2325,2006,350000.0
2326,2007,370000.0
2327,2008,392300.0
2328,2009,393900.0
2329,2010,403300.0
2330,2011,429810.0
2331,2012,426170.0
2332,2013,365818.0
2333,2014,347947.0
2334,2015,322099.0
2335,2016,362657.0
2336,2017,350000.0
2337,2018,337800.0
2338,2019,326025.0
2339,2020,314430.0
2340,2021,314780.0
