,Year,Wheat
11058,1961,1789.132
11059,1962,1789.132
11060,1963,874.098
11061,1964,91054.732
11062,1965,884.098
11063,1966,936.242
11064,1967,1037.408
11065,1968,1006.222
11066,1969,1025.334
11067,1970,884.098
11068,1971,846.468
11069,1972,846.468
11070,1973,139749.376
11071,1974,1025.334
11072,1975,4464090.576
11073,1976,4019666.4
11074,1977,61148.016
11075,1978,3109516.0
11076,1979,268889.448
11077,1980,2525589.4
11078,1981,269300.6
11079,1982,214418.85
11080,1983,884.098
11081,1984,886.058
11082,1985,2389.036
11083,1986,214418.85
11084,1987,66808.0
11085,1988,1047.694
11086,1989,349133.448
11087,1990,268889.448
11088,1991,348964.848
11089,1992,2629.636
11090,1993,223608.0
11091,1994,810.366
11092,1995,349516.048
11093,1996,2629.636
11094,1997,2629.636
11095,1998,2653.2
11096,1999,2629.636
11097,2000,2635.274
11098,2001,2629.636
11099,2002,2389.036
11100,2003,1935.274
11101,2004,6531.056
11102,2005,6445.678
11103,2006,3709.878
11104,2007,3024.042
11105,2008,5052.21
11106,2009,3024.042
11107,2010,4491.81
11108,2011,4491.81
11109,2012,5001.678
11110,2013,97.2
11111,2014,107.2
11112,2015,97.2
11113,2016,81.4
11114,2017,110.0
11115,2018,107.2
11116,2019,107.2
11117,2020,107.2
11118,2021,110.0
